,name_eng,city_eng,country_eng,latitude,longitude
0,Anaa,Anaa,French Polynesia,-17.355,-145.508333
1,Arrabury,Arrabury,Australia,-26.690556,141.0475
2,Al Arish International Airport,Al Arish,Egypt,31.073333,33.835833
3,Ad-Dabbah,Ad-Dabbah,Sudan,17.59277778,33.95916667
4,Les Salines,Annaba,Algeria,36.822222,7.809444
5,Municipal,Apalachicola,United States,29.727607,-85.027442
6,Arapoti,Arapoti,Brazil,-24.103875,-49.789078
7,Aachen/Merzbruck,Aachen,Germany,50.823056,6.186111
8,Arraias,Arraias,Brazil,-13.025,-46.884
9,Cayana Airstrip,Awaradam,Suriname,3.898611,-55.577778
10,Aranuka,Aranuka,Kiribati,0.185278,173.636667
11,Aalborg,Aalborg,Denmark,57.092789,9.849164
12,Mala Mala,Mala Mala,South Africa,-24.818111,31.544584
13,Al Ain,Al Ain,United Arab Emirates,24.261667,55.609167
14,Anaco,Anaco,Venezuela,9.430225,-64.470725
15,Andrau Airpark,"Houston, TX",United States,72.886944,-55.596111
16,Vityazevo,Anapa,Russian Federation,45.002097,37.347272
17,Aarhus Airport,Aarhus,Denmark,56.300017,10.619008
18,Apalapsili,Apalapsili,Indonesia,-3.883,139.283
19,Altay,Altay,China,47.749,88.089
20,Asau,Asau,Samoa,-13.505778,-172.627972
21,Allah Valley,Surallah,Philippines,6.366817,124.751294
22,Abbottabad,Abbottabad,Pakistan,34.15,73.217
23,Araxa,Araxa,Brazil,-19.563247,-46.960358
24,Al Ghaydah,Al Ghaydah,Yemen,16.191666,52.175
25,Ambriz,Ambriz,Angola,14.86555,-91.501981
26,Abakan,Abakan,Russian Federation,53.74,91.385
27,RAF Station,Abingdon,United Kingdom,51.690556,-1.316667
28,Los Llanos,Albacete,Spain,38.948528,-1.863517
29,Abadan,Abadan,Iran,30.371111,48.228333
30,Abaiang,Abaiang,Kiribati,1.798611,173.040556
31,Abingdon,Abingdon,Australia,-17.617,143.167
32,Alpha,Alpha,Australia,-23.646111,146.583611
33,Municipal,Abilene,United States,32.411306,-99.681889
34,Felix Houphouet Boigny,Abidjan,Cote D&#039;Ivoire,5.261386,-3.926294
35,Kabri Dar,Kabri Dar,Ethiopia,6.734,44.253
36,Ambler,Ambler,United States,67.106314,-157.857472
37,Bamaga Injinoo,"Bamaga, Queensland",Australia,-10.950833,142.459444
38,Albina,Albina,Suriname,5.513,-54.05
39,Aboisso,Aboisso,Cote D&#039;Ivoire,5.433,-3.267
40,Atkamba,Atkamba,Papua New Guinea,-6.05,141.083
41,Albuquerque International,Albuquerque,United States,35.040194,-106.609194
42,Municipal,Aberdeen,United States,45.449056,-98.421833
43,Abu Simbel,Abu Simbel,Egypt,22.375953,31.611722
44,Al-Aqiq,Al-Baha,Saudi Arabia,20.296139,41.634277
45,Atambua,Atambua,Indonesia,-9.074444,124.904444
46,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.006792,7.263172
47,Abau,Abau,Papua New Guinea,-10.2,148.733
48,Albury,Albury,Australia,-36.067778,146.958056
49,Dougherty County,Albany,United States,31.535515,-84.194473
50,Dyce,Aberdeen,United Kingdom,57.201944,-2.197778
51,Antrim County,Bellaire,United States,44.988576,-85.198355
52,Kotoka,Accra,Ghana,5.605186,-0.166786
53,Acandi,Acandi,Colombia,8.5,-73.633
54,Lanzarote,Arrecife,Spain,28.945464,-13.605225
55,Altenrhein,Altenrhein,Switzerland,47.485033,9.560775
56,The Blaye,Alderney,United Kingdom,49.706111,-2.214722
57,Anuradhapura,Anuradhapura,Sri Lanka,32.110799,-84.188848
58,Nantucket Memorial,Nantucket,United States,41.253111,-70.060306
59,Aguaclara,Aguaclara,Colombia,4.749,-72.994
60,Arica,Arica,Colombia,-2.133,-71.783
61,International,Ciudad Acuna,Mexico,29.333917,-101.100892
